Alarm Date,Incident Type,Estimated Property Loss,Estimated Content Loss,District,Zip,Property Use
08-01-2020,743,0,0,7,2125,592
08-01-2020,641,0,0,7,2119,    
08-01-2020,600,0,0,8,2124,900
08-01-2020,600,0,0,4,2120,962
08-01-2020,733,0,0,6,2127,429
08-01-2020,441,0,0,1,2128,429
08-01-2020,733,0,0,6,2127,429
08-01-2020,611,0,0,3,2113,    
08-01-2020,714,0,0,8,2124,419
08-01-2020,745,0,0,12,2126,629
08-01-2020,743,0,0,6,2125,429
08-01-2020,553,0,0,3,2113,900
08-01-2020,733,0,0,11,2134,429
08-01-2020,553,0,0,9,2119,592
08-01-2020,743,0,0,6,2127,429
08-01-2020,700,0,0,4,2118,500
08-01-2020,151,0,0,6,2118,900
08-01-2020,600,0,0,4,2118,962
08-01-2020,554,0,0,11,2135,311
08-01-2020,745,0,0,9,2130,0
08-01-2020,710,0,0,4,2116,429
08-01-2020,745,0,0,6,2210,0
08-01-2020,745,0,0,9,2130,880
08-01-2020,714,0,0,4,2116,400
08-01-2020,700,0,0,9,2130,592
08-01-2020,714,0,0,4,2116,460
08-01-2020,142,0,0,12,2132,429
08-01-2020,413,0,0,9,2130,962
08-01-2020,651,0,0,9,2119,429
08-01-2020,711,0,0,9,2119,900
08-01-2020,714,0,0,12,2131,429
08-01-2020,715,0,0,7,2125,400
08-01-2020,715,0,0,4,2116,400
08-01-2020,611,0,0,1,2128,    
08-01-2020,412,0,0,3,2110,900
08-01-2020,553,0,0,11,2135,962
08-01-2020,745,0,0,4,2115,400
08-01-2020,553,0,0,4,2118,429
08-01-2020,745,0,0,9,2120,400
08-01-2020,714,0,0,4,2116,429
08-01-2020,555,0,0,8,2124,429
08-01-2020,621,0,0,11,2135,400
08-01-2020,730,0,0,1,2128,429
08-01-2020,735,0,0,7,2119,400
08-01-2020,413,0,0,9,2115,963
08-01-2020,111,100000,100000,11,2134,569
08-01-2020,743,0,0,12,2130,429
08-01-2020,600,0,0,9,2119,900
08-01-2020,413,0,0,7,2119,960
08-01-2020,745,0,0,7,2121,429
08-01-2020,600,0,0,4,2215,429
08-01-2020,641,0,0,9,2130,963
08-01-2020,600,0,0,9,2119,900
08-01-2020,553,0,0,3,2108,429
08-01-2020,611,0,0,7,2119,960
08-01-2020,113,0,0,12,2130,429
08-01-2020,600,0,0,4,2118,960
08-01-2020,611,0,0,8,2122,    
08-01-2020,553,0,0,11,2134,960
08-01-2020,745,0,0,9,2130,419
08-01-2020,554,0,0,11,2135,400
08-01-2020,714,0,0,12,2136,571
08-01-2020,714,0,0,12,2130,460
08-01-2020,522,0,0,4,2116,429
08-01-2020,611,0,0,8,2126,    
08-01-2020,553,0,0,9,2130,400
08-01-2020,113,0,0,8,2124,429
08-01-2020,600,0,0,4,2118,429
08-01-2020,113,0,0,7,2122,429
08-01-2020,143,0,0,11,2134,124
08-01-2020,600,0,0,4,2118,960
08-01-2020,600,0,0,3,2116,900
08-01-2020,553,0,0,3,2113,900
08-01-2020,113,500,0,11,2135,400
08-01-2020,743,0,0,8,2126,429
08-01-2020,511,0,0,8,2126,429
08-01-2020,113,0,0,4,2116,429
08-01-2020,733,0,0,4,2115,429
08-01-2020,412,0,0,1,2128,429
08-01-2020,611,0,0,3,2114,    
08-01-2020,743,0,0,3,2129,300
08-01-2020,600,0,0,11,2134,963
08-01-2020,151,0,0,7,2122,900
08-01-2020,552,0,0,11,2134,900
08-01-2020,113,0,0,9,2120,400
08-01-2020,622,0,0,7,2122,900
08-01-2020,741,0,0,9,2130,210
08-01-2020,734,0,0,3,2110,500
08-01-2020,745,0,0,6,2210,700
08-01-2020,118,0,0,9,2130,400
08-01-2020,113,0,0,4,2116,460
08-01-2020,553,0,0,8,2126,419
08-01-2020,622,0,0,1,2128,429
08-01-2020,600,0,0,8,2124,962
08-01-2020,551,0,0,3,0,941
08-01-2020,111,175000,25000,3,2111,460
08-01-2020,553,0,0,8,2126,419
08-01-2020,553,0,0,11,2134,900
08-01-2020,113,0,0,11,2135,400
08-01-2020,111,25000,5000,8,2124,429
08-01-2020,745,0,0,4,2215,400
08-01-2020,424,0,0,3,2114,429
08-01-2020,113,0,0,9,2120,400
08-01-2020,600,0,0,9,2121,963
08-01-2020,400,0,0,9,2121,429
08-01-2020,652,0,0,9,2121,429
