Alarm.Date,Incident.Type,Estimated.Property.Loss,Estimated.Content.Loss,District,Zip,Property.Use,Total.loss,Fire
08-01-2020,111,100000,100000,11,2134,569,200000,1
08-01-2020,113,500,0,11,2135,400,500,1
08-01-2020,111,175000,25000,3,2111,460,200000,1
08-01-2020,111,25000,5000,8,2124,429,30000,1
08-02-2020,111,6000,0,1,2128,419,6000,1
08-02-2020,111,15000,1000,3,2108,429,16000,1
08-03-2020,131,10000,500,9,2121,960,10500,1
08-04-2020,118,0,1000,3,2110,174,1000,1
08-05-2020,151,500,0,8,2124,800,500,1
08-05-2020,113,500,1000,8,2124,419,1500,1
08-06-2020,160,2000,0,3,2114,900,2000,1
08-06-2020,111,0,15000,9,2119,429,15000,1
08-06-2020,111,15000,15000,6,2210,500,30000,1
08-06-2020,131,24000,1000,12,2136,960,25000,1
08-06-2020,111,90000,10000,7,2122,429,100000,1
08-07-2020,111,5000,0,7,2125,429,5000,1
08-07-2020,113,0,8000,1,2128,400,8000,1
08-07-2020,113,0,8000,1,2128,400,8000,1
08-08-2020,111,10000,0,1,2128,429,10000,1
08-09-2020,131,6000,1000,6,2118,963,7000,1
08-09-2020,112,5000,0,6,2127,429,5000,1
08-10-2020,151,500,1,3,2129,0,501,1
08-10-2020,111,10000,10000,6,2127,429,20000,1
08-10-2020,113,2500,2500,6,2127,429,5000,1
08-11-2020,111,150000,5000,11,2215,160,155000,1
08-11-2020,111,25000,2000,3,2129,150,27000,1
08-12-2020,131,15000,0,7,2125,962,15000,1
08/13/2020,111,3000,3000,4,2215,400,6000,1
08/13/2020,113,0,1000,8,2124,429,1000,1
08/14/2020,142,10000,0,12,2132,900,10000,1
08/15/2020,131,10000,0,1,2128,961,10000,1
08/15/2020,112,6000,500,3,2110,429,6500,1
08/16/2020,111,50000,50000,7,2124,419,100000,1
08/16/2020,111,3000,4000,11,2134,579,7000,1
08/17/2020,113,0,750,4,2118,429,750,1
08/17/2020,113,1000,0,7,2119,400,1000,1
08/18/2020,131,7000,0,8,2124,962,7000,1
08/18/2020,111,170000,30000,11,2134,429,200000,1
08/19/2020,111,8000,2000,3,2108,213,10000,1
08/19/2020,111,40000,10000,12,2136,400,50000,1
08/19/2020,113,5000,10000,9,2130,322,15000,1
08/21/2020,111,10000,0,1,2128,429,10000,1
08/22/2020,131,750,0,3,2110,961,750,1
08/23/2020,111,2000,0,7,2125,429,2000,1
08/24/2020,111,5000,0,8,2126,429,5000,1
08/24/2020,131,8000,1000,7,2118,960,9000,1
08/24/2020,112,1000,0,3,2203,160,1000,1
08/25/2020,111,500,0,11,2134,429,500,1
08/25/2020,111,3500,3500,12,2130,161,7000,1
08/25/2020,111,7500,1000,11,2134,429,8500,1
08/26/2020,113,1000,1000,12,2132,429,2000,1
08/26/2020,111,500,0,7,2121,429,500,1
08/28/2020,118,0,500,1,2128,429,500,1
08/28/2020,111,5000,0,7,2125,429,5000,1
08/30/2020,111,3000,0,3,2111,460,3000,1
08/30/2020,131,5000,0,8,2124,900,5000,1
08/30/2020,113,0,5000,4,2115,160,5000,1
08/31/2020,111,5000,0,12,2132,881,5000,1
08/31/2020,131,2000,0,9,2130,962,2000,1
08/31/2020,111,10000,5000,1,2128,429,15000,1
12-02-2020,111,1500,500,1,2128,429,2000,1
12-02-2020,111,200000,50000,4,2118,429,250000,1
12-03-2020,111,1000,1000,9,2119,400,2000,1
12-03-2020,118,0,500,4,2115,460,500,1
12-04-2020,113,1000,1000,3,2129,429,2000,1
12-04-2020,113,1000,1000,11,2135,429,2000,1
12-05-2020,160,5000,0,7,2125,962,5000,1
12-05-2020,111,0,500,8,2124,429,500,1
12-06-2020,111,10000,15000,7,2124,419,25000,1
12-08-2020,111,30000,0,6,2210,429,30000,1
12-09-2020,111,150000,0,7,2119,429,150000,1
12-10-2020,111,15000,0,6,2127,419,15000,1
12-10-2020,113,0,1000,1,2128,429,1000,1
12-11-2020,111,0,2000,3,2108,162,2000,1
12-11-2020,111,250,2500,9,2120,429,2750,1
